id,location,name,description,status,lat,lng
1,,Churchill-Snell landscape improvements,A new walkway between Churchill Hall and Snell Engineering features outdoor seating surrounded by lush New England ferns.,Now Open,42.338577,-71.088567
2,,Snell Engineering 108 and 168 classrooms renovation,"Snell Engineering 108 and 168 were completely remodeled into modern, auditorium-style classrooms with tiered seating and new heating, ventilation, and air conditioning systems.",Now Open,42.338299,-71.088780
3,,A new suite for the Department of Philosophy and Religion,"Students, faculty, and staff in the Department of Philosophy and Religion now have a dedicated space on the fourth floor of Renaissance Park to collaborate on projects. The space includes new offices. ",Now Open,42.338051,-71.090972
4,,Department of Mechanical and Industrial Engineering Capstone Design Studio ,The Department of Mechanical and Industrial Engineering’s Design Studio in Forsyth Hall was expanded to include three conference rooms and a 3D printing room.,Now Open,42.338568,-71.089661
5,,"The New Biopharmaceutical Analysis Training Laboratory on Northeastern’s Innovation Campus at Burlington, Massachusetts","A new state-of-the-art laboratory was built on Northeastern’s Innovation Campus at Burlington, Massachusetts. The facility will feature research labs, a meeting area for workshops, and a makerspace with a suite of high-tech equipment, including 3D printers and other prototyping technology.",Now Open,42.478307,-71.192240
6,,Floors 13 and 22 at 177 Huntington Ave.,The 13th and 22nd floors of the new 26-story apartment building at 177 Huntington Ave. were fitted to provide housing for faculty members who are studying machine learning. ,Now Open,42.344842,-71.082639
7,,Parson’s Field turf installation,"The baseball team and the men and women’s soccer teams will play on an all new turf field at Parson’s Field in Brookline, Massachusetts. The bullpens for the baseball team were also renovated. ",Now Open,42.336908,-71.113565
8,,142-148 Hemenway Street,The 20-unit apartment complex that sits on the north part of the university’s Boston campus was renovated to include new windows and a new fire suppression system.,Now Open,42.342017,-71.090444
9,,LightView,"Northeastern formed a partnership with American Campus Communities to build LightView, the first privately-owned student housing project in Massachusetts. The new 21-story, 825-bed residence hall at the corner of Columbus Avenue and Burke Street includes a state-of-the-art fitness center, recreational lounges, and 2,200 square feet of vibrant street-level retail. The new apartment building was opened to students in fall 2019.",Now Open,42.337236,-71.085544
10,,The pedestrian bridge,"Northeastern worked with Skanska and Payette to design and construct a new pedestrian bridge that links the Huntington Avenue side of campus with the Columbus Avenue side. The bridge, which was opened to foot traffic in the spring, spans the five MBTA and Amtrak rail lines that divide the Boston campus, forming a physical link between the two sides.",Now Open,42.337610,-71.087470
